# itcsim export of chapter_2_example_B
#
# Date	Thu Nov 12 21:31:42 2015
# units kcal
# T	288.15000
# V0	1416.60000
# Cell	Macromolecule	1.00000E-06
# Syringe	Ligand	2.00000E-05
# Q_dil	0.00000E+00
# skip 
#
# Ivol	dQ_exp
5.00000	-1.00288
5.00000	-1.06209
5.00000	-1.06464
5.00000	-1.03712
5.00000	-1.01841
5.00000	-1.02816
5.00000	-1.04581
5.00000	-1.04854
5.00000	-1.06845
5.00000	-1.04438
5.00000	-1.03500
5.00000	-1.03204
5.00000	-1.03844
5.00000	-0.99903
5.00000	-1.05257
5.00000	-1.03993
5.00000	-1.06021
5.00000	-1.04032
5.00000	-1.01539
5.00000	-0.93977
5.00000	-0.97905
5.00000	-0.88700
5.00000	-0.85029
5.00000	-0.65399
5.00000	-0.48444
5.00000	-0.33220
5.00000	-0.20896
5.00000	-0.12150
5.00000	-0.09001
5.00000	-0.04248
5.00000	-0.05700
5.00000	-0.04668
5.00000	-0.01782
5.00000	-0.02366
5.00000	-0.03683
5.00000	-0.00650
5.00000	0.01450
5.00000	-0.00260
5.00000	0.00341
5.00000	-0.00373
5.00000	0.00643
5.00000	0.02175
5.00000	-0.02716
5.00000	-0.00755
5.00000	-0.03280
5.00000	0.03281
5.00000	0.00901
5.00000	0.00575
5.00000	0.02670
5.00000	-0.00078
