# itcsim export of chapter_2_example_C
#
# Date	Thu Nov 12 21:31:42 2015
# units kcal
# T	308.15000
# V0	1416.60000
# Cell	Macromolecule	1.00000E-06
# Syringe	Ligand	2.00000E-05
# Q_dil	0.00000E+00
# skip 
#
# Ivol	dQ_exp
5.00000	-1.28830
5.00000	-1.26238
5.00000	-1.30623
5.00000	-1.28858
5.00000	-1.28819
5.00000	-1.25852
5.00000	-1.24455
5.00000	-1.25957
5.00000	-1.29818
5.00000	-1.28747
5.00000	-1.27499
5.00000	-1.24498
5.00000	-1.27192
5.00000	-1.21959
5.00000	-1.21234
5.00000	-1.26240
5.00000	-1.17417
5.00000	-1.16955
5.00000	-1.12496
5.00000	-1.07521
5.00000	-1.00684
5.00000	-0.95419
5.00000	-0.86144
5.00000	-0.72672
5.00000	-0.61490
5.00000	-0.47269
5.00000	-0.36677
5.00000	-0.29278
5.00000	-0.22703
5.00000	-0.18203
5.00000	-0.17616
5.00000	-0.11983
5.00000	-0.13429
5.00000	-0.05921
5.00000	-0.09392
5.00000	-0.01395
5.00000	-0.05704
5.00000	-0.07355
5.00000	-0.01770
5.00000	-0.02495
5.00000	-0.01085
5.00000	-0.05486
5.00000	-0.03578
5.00000	-0.02603
5.00000	-0.01551
5.00000	-0.00942
5.00000	-0.00928
5.00000	-0.02025
5.00000	-0.02087
5.00000	-0.02016
